"Range","REF","PropertyName","PropertyDescription","PropertyDescriptionShort","PropertyFilter","PropertyFilterShort","Source","SectorCount","PublicCount","Type","Subtype","Year","YearDesc","File","Field","DataType","DataTypeAlt","RecordFilterBy","Filter","FilterValue","Filter2","Filter2Value","Filter3","Filter3Value","Filter4","Filter4Value","Filter5","Filter5Value","ShouldBeNormalised","NormalisedLookup","CompoundFields","ReturnMultipleRecords","IgnoreMapping"
"England","","ReadingScaledScore_Tot_Cohort_Eng_Current_Num","EnglandPerformance ReadingScaledScore_Tot_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","ReadingScaledScore_Tot_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","ReadingScaledScore_Boy_Cohort_Eng_Current_Num","EnglandPerformance ReadingScaledScore_Boy_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","ReadingScaledScore_Boy_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","ReadingScaledScore_Grl_Cohort_Eng_Current_Num","EnglandPerformance ReadingScaledScore_Grl_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","ReadingScaledScore_Grl_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","ReadingScaledScore_Dis_Cohort_Eng_Current_Num","EnglandPerformance ReadingScaledScore_Dis_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","ReadingScaledScore_Dis_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","ReadingScaledScore_NDi_Cohort_Eng_Current_Num","EnglandPerformance ReadingScaledScore_NDi_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","ReadingScaledScore_NDi_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","ReadingScaledScore_SENEHC_Cohort_Eng_Current_Num","EnglandPerformance ReadingScaledScore_SENEHC_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","ReadingScaledScore_SENEHC_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","ReadingScaledScore_SENSup_Cohort_Eng_Current_Num","EnglandPerformance ReadingScaledScore_SENSup_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","ReadingScaledScore_SENSup_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","ReadingScaledScore_NoSEN_Cohort_Eng_Current_Num","EnglandPerformance ReadingScaledScore_NoSEN_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","ReadingScaledScore_NoSEN_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","ReadingScaledScore_EFL_Cohort_Eng_Current_Num","EnglandPerformance ReadingScaledScore_EFL_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","ReadingScaledScore_EFL_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","ReadingScaledScore_EAL_Cohort_Eng_Current_Num","EnglandPerformance ReadingScaledScore_EAL_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","ReadingScaledScore_EAL_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
